State,Date,Area
Western Australia,1/2/2020,0.870593068
Western Australia,1/1/2020,0.652944801
Western Australia,1/12/2019,0.435296534
Western Australia,1/11/2019,0.217648267
Victoria,1/2/2020,6.734800654
Victoria,1/1/2020,6.629741827
Victoria,1/12/2019,6.339085665
Victoria,1/11/2019,4.340580539
Tasmania,1/2/2020,0.526308095
Tasmania,1/1/2020,0.321632725
Tasmania,1/12/2019,0.01900557
Tasmania,1/11/2019,0.00000001
South Australia,1/2/2020,0.28327954
South Australia,1/1/2020,0.21486893
South Australia,1/12/2019,0.069083155
South Australia,1/11/2019,0.005079644
Queensland,1/2/2020,1.445302247
Queensland,1/1/2020,1.445302247
Queensland,1/12/2019,0.696595215
Queensland,1/11/2019,0.020812352
Northern Territory,1/2/2020,5.045292631
Northern Territory,1/1/2020,3.783969473
Northern Territory,1/12/2019,2.522646315
Northern Territory,1/11/2019,1.261323158
New South Wales,1/2/2020,6.890095488
New South Wales,1/1/2020,4.931143981
New South Wales,1/12/2019,3.512165013
New South Wales,1/11/2019,1.418978968
Australian Capital Territory,1/2/2020,36.66836302
Australian Capital Territory,1/1/2020,9.126378287
Australian Capital Territory,1/12/2019,0.00000001
Australian Capital Territory,1/11/2019,0.00000001
