Date,Temperature,State
2000-01,25.1,Australian Capital Territory
2000-02,29.2,Australian Capital Territory
2000-03,25.7,Australian Capital Territory
2000-04,20.4,Australian Capital Territory
2000-05,15.1,Australian Capital Territory
2000-06,12.6,Australian Capital Territory
2000-07,11.9,Australian Capital Territory
2000-08,13.5,Australian Capital Territory
2000-09,18.2,Australian Capital Territory
2000-10,19.5,Australian Capital Territory
2000-11,22.8,Australian Capital Territory
2000-12,28,Australian Capital Territory
2001-01,31.2,Australian Capital Territory
2001-02,29,Australian Capital Territory
2001-03,23.7,Australian Capital Territory
2001-04,21.3,Australian Capital Territory
2001-05,16.6,Australian Capital Territory
2001-06,14.3,Australian Capital Territory
2001-07,12.6,Australian Capital Territory
2001-08,13.7,Australian Capital Territory
2001-09,18.8,Australian Capital Territory
2001-10,18.9,Australian Capital Territory
2001-11,22.4,Australian Capital Territory
2001-12,26.5,Australian Capital Territory
2002-01,28.7,Australian Capital Territory
2002-02,24.5,Australian Capital Territory
2002-03,25.5,Australian Capital Territory
2002-04,22.6,Australian Capital Territory
2002-05,16.2,Australian Capital Territory
2002-06,13.4,Australian Capital Territory
2002-07,12.8,Australian Capital Territory
2002-08,14.9,Australian Capital Territory
2002-09,17.9,Australian Capital Territory
2002-10,21.7,Australian Capital Territory
2002-11,27.7,Australian Capital Territory
2002-12,28.4,Australian Capital Territory
2003-01,30.6,Australian Capital Territory
2003-02,29.2,Australian Capital Territory
2003-03,23.9,Australian Capital Territory
2003-04,20.1,Australian Capital Territory
2003-05,17.2,Australian Capital Territory
2003-06,13.2,Australian Capital Territory
2003-07,12.5,Australian Capital Territory
2003-08,13.3,Australian Capital Territory
2003-09,16.8,Australian Capital Territory
2003-10,17.9,Australian Capital Territory
2003-11,24.4,Australian Capital Territory
2003-12,27.6,Australian Capital Territory
2004-01,29.5,Australian Capital Territory
2004-02,30.5,Australian Capital Territory
2004-03,27,Australian Capital Territory
2004-04,22.1,Australian Capital Territory
2004-05,16.5,Australian Capital Territory
2004-06,13.1,Australian Capital Territory
2004-07,12.1,Australian Capital Territory
2004-08,14.6,Australian Capital Territory
2004-09,17.5,Australian Capital Territory
2004-10,20.3,Australian Capital Territory
2004-11,23.7,Australian Capital Territory
2004-12,26.4,Australian Capital Territory
2005-01,28.8,Australian Capital Territory
2005-02,27,Australian Capital Territory
2005-03,24.5,Australian Capital Territory
2005-04,24.3,Australian Capital Territory
2005-05,18.3,Australian Capital Territory
2005-06,13.9,Australian Capital Territory
2005-07,12.7,Australian Capital Territory
2005-08,14.5,Australian Capital Territory
2005-09,16.4,Australian Capital Territory
2005-10,20.4,Australian Capital Territory
2005-11,22.9,Australian Capital Territory
2005-12,28.8,Australian Capital Territory
2006-01,30.6,Australian Capital Territory
2006-02,30.5,Australian Capital Territory
2006-03,27,Australian Capital Territory
2006-04,19.6,Australian Capital Territory
2006-05,16.1,Australian Capital Territory
2006-06,11.8,Australian Capital Territory
2006-07,12.5,Australian Capital Territory
2006-08,15.4,Australian Capital Territory
2006-09,19.3,Australian Capital Territory
2006-10,24,Australian Capital Territory
2006-11,26.4,Australian Capital Territory
2006-12,27.7,Australian Capital Territory
2007-01,30.8,Australian Capital Territory
2007-02,28.3,Australian Capital Territory
2007-03,25.8,Australian Capital Territory
2007-04,22,Australian Capital Territory
2007-05,17.9,Australian Capital Territory
2007-06,11.6,Australian Capital Territory
2007-07,11.4,Australian Capital Territory
2007-08,15.2,Australian Capital Territory
2007-09,17.4,Australian Capital Territory
2007-10,23,Australian Capital Territory
2007-11,24.8,Australian Capital Territory
2007-12,25.1,Australian Capital Territory
2008-01,29.2,Australian Capital Territory
2008-02,24.5,Australian Capital Territory
2008-03,26,Australian Capital Territory
2008-04,19.6,Australian Capital Territory
2008-05,17.2,Australian Capital Territory
2008-06,14.5,Australian Capital Territory
2008-07,11.6,Australian Capital Territory
2008-08,13,Australian Capital Territory
2008-09,18.3,Australian Capital Territory
2008-10,23.1,Australian Capital Territory
2008-11,23.1,Australian Capital Territory
2008-12,24.9,Australian Capital Territory
2009-01,31.3,Australian Capital Territory
2009-02,28.9,Australian Capital Territory
2009-03,26.6,Australian Capital Territory
2009-04,19.6,Australian Capital Territory
2009-05,16.4,Australian Capital Territory
2009-06,12.4,Australian Capital Territory
2009-07,12.6,Australian Capital Territory
2009-08,14.7,Australian Capital Territory
2009-09,17.6,Australian Capital Territory
2009-10,18.8,Australian Capital Territory
2009-11,28.8,Australian Capital Territory
2009-12,29,Australian Capital Territory
2000-01,24.9,New South Wales
2000-02,28.2,New South Wales
2000-03,25.2,New South Wales
2000-04,22.8,New South Wales
2000-05,19.9,New South Wales
2000-06,17.1,New South Wales
2000-07,17.6,New South Wales
2000-08,18.4,New South Wales
2000-09,22.8,New South Wales
2000-10,22.9,New South Wales
2000-11,23.3,New South Wales
2000-12,28,New South Wales
2001-01,27.9,New South Wales
2001-02,27,New South Wales
2001-03,25.4,New South Wales
2001-04,23.6,New South Wales
2001-05,19,New South Wales
2001-06,19.3,New South Wales
2001-07,16.8,New South Wales
2001-08,18.9,New South Wales
2001-09,21.9,New South Wales
2001-10,23.8,New South Wales
