Rainfall,Year,Month,Area
97.4,2000,January,Australia
112.8375,2000,February,Australia
100.075,2000,March,Australia
80.3125,2000,April,Australia
48.55,2000,May,Australia
38.2875,2000,June,Australia
56.8875,2000,July,Australia
50.175,2000,August,Australia
41.7625,2000,September,Australia
69.225,2000,October,Australia
68.8,2000,November,Australia
49.225,2000,December,Australia
61.2375,2001,January,Australia
113.95,2001,February,Australia
107.1875,2001,March,Australia
50.075,2001,April,Australia
82.725,2001,May,Australia
42.75,2001,June,Australia
69.2875,2001,July,Australia
57.35,2001,August,Australia
44.1625,2001,September,Australia
61.675,2001,October,Australia
88.3,2001,November,Australia
56.675,2001,December,Australia
58.6375,2002,January,Australia
140.475,2002,February,Australia
66.625,2002,March,Australia
41.2,2002,April,Australia
51.95,2002,May,Australia
55.3125,2002,June,Australia
39,2002,July,Australia
42.675,2002,August,Australia
47.0875,2002,September,Australia
24.8625,2002,October,Australia
48.3125,2002,November,Australia
45.5875,2002,December,Australia
67.7,2003,January,Australia
154.9625,2003,February,Australia
80.9125,2003,March,Australia
61.225,2003,April,Australia
90.325,2003,May,Australia
68.775,2003,June,Australia
55.1625,2003,July,Australia
63.7125,2003,August,Australia
42.2,2003,September,Australia
55.2875,2003,October,Australia
66.45,2003,November,Australia
95.3375,2003,December,Australia
118.6625,2004,January,Australia
85.875,2004,February,Australia
94.7375,2004,March,Australia
31.175,2004,April,Australia
40.5875,2004,May,Australia
52.4625,2004,June,Australia
40.3125,2004,July,Australia
76.9875,2004,August,Australia
38.45,2004,September,Australia
64.3,2004,October,Australia
79.3875,2004,November,Australia
95.5125,2004,December,Australia
87.8875,2005,January,Australia
99.225,2005,February,Australia
62.2375,2005,March,Australia
30.1875,2005,April,Australia
41.7,2005,May,Australia
86.9375,2005,June,Australia
42.7,2005,July,Australia
45.375,2005,August,Australia
61.2375,2005,September,Australia
76.75,2005,October,Australia
86.9125,2005,November,Australia
54.025,2005,December,Australia
116.275,2006,January,Australia
60.925,2006,February,Australia
86.65,2006,March,Australia
76.15,2006,April,Australia
31.45,2006,May,Australia
52.6875,2006,June,Australia
54.725,2006,July,Australia
35.4,2006,August,Australia
49.5875,2006,September,Australia
13.85,2006,October,Australia
40.5875,2006,November,Australia
63.0875,2006,December,Australia
70.725,2007,January,Australia
100.1625,2007,February,Australia
114.175,2007,March,Australia
71.1875,2007,April,Australia
37.55,2007,May,Australia
93.7375,2007,June,Australia
50.5375,2007,July,Australia
54.7,2007,August,Australia
43.7375,2007,September,Australia
31.6125,2007,October,Australia
70.1,2007,November,Australia
100.025,2007,December,Australia
111.375,2008,January,Australia
163.975,2008,February,Australia
61.7875,2008,March,Australia
47.525,2008,April,Australia
31,2008,May,Australia
70.85,2008,June,Australia
79.225,2008,July,Australia
36.9,2008,August,Australia
41.125,2008,September,Australia
47.8,2008,October,Australia
89.4875,2008,November,Australia
97.875,2008,December,Australia
74.25,2009,January,Australia
108.0375,2009,February,Australia
46.675,2009,March,Australia
95.65,2009,April,Australia
102.1625,2009,May,Australia
77.3125,2009,June,Australia
51.0875,2009,July,Australia
43.6375,2009,August,Australia
58.5,2009,September,Australia
50.15,2009,October,Australia
57.225,2009,November,Australia
115.1125,2009,December,Australia
98.1,2010,January,Australia
143.35,2010,February,Australia
90.475,2010,March,Australia
54.6,2010,April,Australia
83.125,2010,May,Australia
45.8,2010,June,Australia
59.525,2010,July,Australia
70.2,2010,August,Australia
61.925,2010,September,Australia
125.025,2010,October,Australia
98.55,2010,November,Australia
158,2010,December,Australia
171.15,2011,January,Australia
201.8,2011,February,Australia
103.35,2011,March,Australia
92.375,2011,April,Australia
49.675,2011,May,Australia
46.15,2011,June,Australia
78.95,2011,July,Australia
54.575,2011,August,Australia
49.1,2011,September,Australia
66.125,2011,October,Australia
90.45,2011,November,Australia
93,2011,December,Australia
147.175,2012,January,Australia
108.85,2012,February,Australia
173.05,2012,March,Australia
68.5,2012,April,Australia
48.975,2012,May,Australia
97.8875,2012,June,Australia
38.225,2012,July,Australia
43.575,2012,August,Australia
40.675,2012,September,Australia
26.725,2012,October,Australia
58.35,2012,November,Australia
51.075,2012,December,Australia
115.55,2013,January,Australia
117.1,2013,February,Australia
97.875,2013,March,Australia
67.0125,2013,April,Australia
51.7125,2013,May,Australia
98.85,2013,June,Australia
65.3125,2013,July,Australia
46.875,2013,August,Australia
64.1,2013,September,Australia
46.875,2013,October,Australia
112.6,2013,November,Australia
52.625,2013,December,Australia
102.3625,2014,January,Australia
88.25,2014,February,Australia
71.725,2014,March,Australia
71.6875,2014,April,Australia
41.4,2014,May,Australia
56.425,2014,June,Australia
48.275,2014,July,Australia
73.0875,2014,August,Australia
40.2,2014,September,Australia
37.95,2014,October,Australia
56.85,2014,November,Australia
70.85,2014,December,Australia
153.0125,2015,January,Australia
99.875,2015,February,Australia
60.5375,2015,March,Australia
106.4,2015,April,Australia
80.2125,2015,May,Australia
53.3,2015,June,Australia
42.975,2015,July,Australia
50.75,2015,August,Australia
40.775,2015,September,Australia
25.425,2015,October,Australia
69.3375,2015,November,Australia
103.45,2015,December,Australia
99.8125,2016,January,Australia
53.15,2016,February,Australia
76.1,2016,March,Australia
31.0125,2016,April,Australia
59.6,2016,May,Australia
137.7125,2016,June,Australia
72.8875,2016,July,Australia
57.3,2016,August,Australia
95.325,2016,September,Australia
62.7625,2016,October,Australia
66.975,2016,November,Australia
111.4625,2016,December,Australia
111.0375,2017,January,Australia
128.2875,2017,February,Australia
172.15,2017,March,Australia
60.4125,2017,April,Australia
34.5,2017,May,Australia
43.1125,2017,June,Australia
49,2017,July,Australia
53.4875,2017,August,Australia
28.625,2017,September,Australia
67.0875,2017,October,Australia
76.8,2017,November,Australia
99.3125,2017,December,Australia
149.725,2018,January,Australia
102.975,2018,February,Australia
83.5875,2018,March,Australia
29.3875,2018,April,Australia
49.375,2018,May,Australia
75.1875,2018,June,Australia
41.3625,2018,July,Australia
47.825,2018,August,Australia
33.3875,2018,September,Australia
65.75,2018,October,Australia
77.0625,2018,November,Australia
64.2125,2018,December,Australia
63.4,2019,January,Australia
53.7125,2019,February,Australia
96.8625,2019,March,Australia
40.075,2019,April,Australia
39.4125,2019,May,Australia
81.1375,2019,June,Australia
37.45,2019,July,Australia
49.4125,2019,August,Australia
34.3,2019,September,Australia
23.575,2019,October,Australia
35.0375,2019,November,Australia
