Rainfall,Year,Month
97.4,2000,January
112.8375,2000,February
100.075,2000,March
80.3125,2000,April
48.55,2000,May
38.2875,2000,June
56.8875,2000,July
50.175,2000,August
41.7625,2000,September
69.225,2000,October
68.8,2000,November
49.225,2000,December
61.2375,2001,January
113.95,2001,February
107.1875,2001,March
50.075,2001,April
82.725,2001,May
42.75,2001,June
69.2875,2001,July
57.35,2001,August
44.1625,2001,September
61.675,2001,October
88.3,2001,November
56.675,2001,December
58.6375,2002,January
140.475,2002,February
66.625,2002,March
41.2,2002,April
51.95,2002,May
55.3125,2002,June
39,2002,July
42.675,2002,August
47.0875,2002,September
24.8625,2002,October
48.3125,2002,November
45.5875,2002,December
67.7,2003,January
154.9625,2003,February
80.9125,2003,March
61.225,2003,April
90.325,2003,May
68.775,2003,June
55.1625,2003,July
63.7125,2003,August
42.2,2003,September
55.2875,2003,October
66.45,2003,November
95.3375,2003,December
118.6625,2004,January
85.875,2004,February
94.7375,2004,March
31.175,2004,April
40.5875,2004,May
52.4625,2004,June
40.3125,2004,July
76.9875,2004,August
38.45,2004,September
64.3,2004,October
79.3875,2004,November
95.5125,2004,December
87.8875,2005,January
99.225,2005,February
62.2375,2005,March
30.1875,2005,April
41.7,2005,May
86.9375,2005,June
42.7,2005,July
45.375,2005,August
61.2375,2005,September
76.75,2005,October
86.9125,2005,November
54.025,2005,December
116.275,2006,January
60.925,2006,February
86.65,2006,March
76.15,2006,April
31.45,2006,May
52.6875,2006,June
54.725,2006,July
35.4,2006,August
49.5875,2006,September
13.85,2006,October
40.5875,2006,November
63.0875,2006,December
70.725,2007,January
100.1625,2007,February
114.175,2007,March
71.1875,2007,April
37.55,2007,May
93.7375,2007,June
50.5375,2007,July
54.7,2007,August
43.7375,2007,September
31.6125,2007,October
70.1,2007,November
100.025,2007,December
111.375,2008,January
163.975,2008,February
61.7875,2008,March
47.525,2008,April
31,2008,May
70.85,2008,June
79.225,2008,July
36.9,2008,August
41.125,2008,September
47.8,2008,October
89.4875,2008,November
97.875,2008,December
74.25,2009,January
108.0375,2009,February
46.675,2009,March
95.65,2009,April
102.1625,2009,May
77.3125,2009,June
51.0875,2009,July
43.6375,2009,August
58.5,2009,September
50.15,2009,October
57.225,2009,November
115.1125,2009,December
98.1,2010,January
143.35,2010,February
90.475,2010,March
54.6,2010,April
83.125,2010,May
45.8,2010,June
59.525,2010,July
70.2,2010,August
61.925,2010,September
125.025,2010,October
98.55,2010,November
158,2010,December
171.15,2011,January
201.8,2011,February
103.35,2011,March
92.375,2011,April
49.675,2011,May
46.15,2011,June
78.95,2011,July
54.575,2011,August
49.1,2011,September
66.125,2011,October
90.45,2011,November
93,2011,December
147.175,2012,January
108.85,2012,February
173.05,2012,March
68.5,2012,April
48.975,2012,May
97.8875,2012,June
38.225,2012,July
43.575,2012,August
40.675,2012,September
26.725,2012,October
58.35,2012,November
51.075,2012,December
115.55,2013,January
117.1,2013,February
97.875,2013,March
67.0125,2013,April
51.7125,2013,May
98.85,2013,June
65.3125,2013,July
46.875,2013,August
64.1,2013,September
46.875,2013,October
112.6,2013,November
52.625,2013,December
102.3625,2014,January
88.25,2014,February
71.725,2014,March
71.6875,2014,April
41.4,2014,May
56.425,2014,June
48.275,2014,July
73.0875,2014,August
40.2,2014,September
37.95,2014,October
56.85,2014,November
70.85,2014,December
153.0125,2015,January
99.875,2015,February
60.5375,2015,March
106.4,2015,April
80.2125,2015,May
53.3,2015,June
42.975,2015,July
50.75,2015,August
40.775,2015,September
25.425,2015,October
69.3375,2015,November
103.45,2015,December
99.8125,2016,January
53.15,2016,February
76.1,2016,March
31.0125,2016,April
59.6,2016,May
137.7125,2016,June
72.8875,2016,July
57.3,2016,August
95.325,2016,September
62.7625,2016,October
66.975,2016,November
111.4625,2016,December
111.0375,2017,January
128.2875,2017,February
172.15,2017,March
60.4125,2017,April
34.5,2017,May
43.1125,2017,June
49,2017,July
53.4875,2017,August
28.625,2017,September
67.0875,2017,October
76.8,2017,November
99.3125,2017,December
149.725,2018,January
102.975,2018,February
83.5875,2018,March
29.3875,2018,April
49.375,2018,May
75.1875,2018,June
41.3625,2018,July
47.825,2018,August
33.3875,2018,September
65.75,2018,October
77.0625,2018,November
64.2125,2018,December
63.4,2019,January
53.7125,2019,February
96.8625,2019,March
40.075,2019,April
39.4125,2019,May
81.1375,2019,June
37.45,2019,July
49.4125,2019,August
34.3,2019,September
23.575,2019,October
35.0375,2019,November
21.6875,2019,December
101.3375,2020,January
150.0125,2020,February
107.8625,2020,March
70.875,2020,April
50.7625,2020,May
59.85,2020,June
48.5375,2020,July
65.3875,2020,August
46.55,2020,September
95.4875,2020,October
50.975,2020,November
103.525,2020,December
140.4125,2021,January
94.0375,2021,February
143.625,2021,March
45.6125,2021,April
59.1375,2021,May
66.75,2021,June
69.675,2021,July
44.0375,2021,August
54.5,2021,September
91.0625,2021,October
112.1875,2021,November
122.925,2021,December
116.3625,2022,January
245.1,2022,February
134.65,2022,March
89.5375,2022,April
112.9625,2022,May
35.65,2022,June
88.025,2022,July
76.8125,2022,August
68.6875,2022,September
127.675,2022,October
95.45,2022,November
112.3125,2022,December
82.0875,2023,January
105.5375,2023,February
66.825,2023,March
67.1875,2023,April
48.425,2023,May
59.4875,2023,June
35.075,2023,July
32.2625,2023,August
23.475,2023,September
29.4375,2023,October
75.9875,2023,November
99.9875,2023,December
