Date,State,Area
2020-02 ,Western Australia,550000
2020-01,Western Australia,550000
2019-12,Western Australia,550000
2019-11,Western Australia,550000
2020-02 ,Victoria,23895
2020-01,Victoria,66108
2019-12,Victoria,454548
2019-11,Victoria,987239
2020-02 ,Tasmania,14000
2020-01,Tasmania,20700
2019-12,Tasmania,1300
2019-11,Tasmania,0
2020-02 ,South Australia,67338
2020-01,South Australia,143500
2019-12,South Australia,63000
2019-11,South Australia,5000
2020-02 ,Queensland,0
2020-01,Queensland,1295070
2019-12,Queensland,1168930
2019-11,Queensland,36000
2020-02 ,Northern Territory,1700000
2020-01,Northern Territory,1700000
2019-12,Northern Territory,1700000
2019-11,Northern Territory,1700000
2020-02 ,New South Wales,1569414
2020-01,New South Wales,1136815
2019-12,New South Wales,1676956
2019-11,New South Wales,1136815
2020-02 ,Australian Capital Territory,64944
2020-01,Australian Capital Territory,21520
2019-12,Australian Capital Territory,0
2019-11,Australian Capital Territory,0
