Date,Temperature,State
2010-01,31.8,Australian Capital Territory
2011-01,28.8,Australian Capital Territory
2012-01,27.5,Australian Capital Territory
2013-01,32.3,Australian Capital Territory
2014-01,31.6,Australian Capital Territory
2015-01,27.4,Australian Capital Territory
2016-01,28.5,Australian Capital Territory
2017-01,32.8,Australian Capital Territory
2018-01,31.6,Australian Capital Territory
2019-01,34.5,Australian Capital Territory
2020-01,31.7,Australian Capital Territory
2021-01,28.1,Australian Capital Territory
2022-01,26.9,Australian Capital Territory
2023-01,27.6,Australian Capital Territory
2010-02,31.8,Australian Capital Territory
2011-02,28.8,Australian Capital Territory
2012-02,27.5,Australian Capital Territory
2013-02,32.3,Australian Capital Territory
2014-02,31.6,Australian Capital Territory
2015-02,27.4,Australian Capital Territory
2016-02,28.5,Australian Capital Territory
2017-02,32.8,Australian Capital Territory
2018-02,31.6,Australian Capital Territory
2019-02,34.5,Australian Capital Territory
2020-02,31.7,Australian Capital Territory
2021-02,28.1,Australian Capital Territory
2022-02,26.9,Australian Capital Territory
2023-02,27.6,Australian Capital Territory
2010-03,24.6,Australian Capital Territory
2011-03,23.3,Australian Capital Territory
2012-03,22.1,Australian Capital Territory
2013-03,25.7,Australian Capital Territory
2014-03,24.2,Australian Capital Territory
2015-03,26.3,Australian Capital Territory
2016-03,27.7,Australian Capital Territory
2017-03,25.9,Australian Capital Territory
2018-03,26.3,Australian Capital Territory
2019-03,26,Australian Capital Territory
2020-03,23.4,Australian Capital Territory
2021-03,23,Australian Capital Territory
2022-03,24,Australian Capital Territory
2023-03,25.5,Australian Capital Territory
2010-04,24.6,Australian Capital Territory
2011-04,23.3,Australian Capital Territory
2012-04,22.1,Australian Capital Territory
2013-04,25.7,Australian Capital Territory
2014-04,24.2,Australian Capital Territory
2015-04,26.3,Australian Capital Territory
2016-04,27.7,Australian Capital Territory
2017-04,25.9,Australian Capital Territory
2018-04,26.3,Australian Capital Territory
2019-04,26,Australian Capital Territory
2020-04,23.4,Australian Capital Territory
2021-04,23,Australian Capital Territory
2022-04,24,Australian Capital Territory
2023-04,25.5,Australian Capital Territory
2010-05,16.6,Australian Capital Territory
2011-05,15.8,Australian Capital Territory
2012-05,15.6,Australian Capital Territory
2013-05,17.4,Australian Capital Territory
2014-05,17.6,Australian Capital Territory
2015-05,16.3,Australian Capital Territory
2016-05,17.4,Australian Capital Territory
2017-05,16.4,Australian Capital Territory
2018-05,17.5,Australian Capital Territory
2019-05,16.6,Australian Capital Territory
2020-05,15,Australian Capital Territory
2021-05,16.4,Australian Capital Territory
2022-05,16.1,Australian Capital Territory
2023-05,15,Australian Capital Territory
2010-06,13,Australian Capital Territory
2011-06,13.6,Australian Capital Territory
2012-06,12.9,Australian Capital Territory
2013-06,13.9,Australian Capital Territory
2014-06,13.2,Australian Capital Territory
2015-06,13.8,Australian Capital Territory
2016-06,13,Australian Capital Territory
2017-06,13.6,Australian Capital Territory
2018-06,13.2,Australian Capital Territory
2019-06,14.1,Australian Capital Territory
2020-06,13.5,Australian Capital Territory
2021-06,12.9,Australian Capital Territory
2022-06,12,Australian Capital Territory
2023-06,13.1,Australian Capital Territory
2010-07,12.8,Australian Capital Territory
2011-07,12.3,Australian Capital Territory
2012-07,13,Australian Capital Territory
2013-07,13.4,Australian Capital Territory
2014-07,12.2,Australian Capital Territory
2015-07,11.5,Australian Capital Territory
2016-07,12.7,Australian Capital Territory
2017-07,12.9,Australian Capital Territory
2018-07,13.3,Australian Capital Territory
2019-07,13.7,Australian Capital Territory
2020-07,13.2,Australian Capital Territory
2021-07,11.9,Australian Capital Territory
2022-07,12.7,Australian Capital Territory
2023-07,14.5,Australian Capital Territory
2010-08,12.3,Australian Capital Territory
2011-08,16,Australian Capital Territory
2012-08,13.6,Australian Capital Territory
2013-08,14.8,Australian Capital Territory
2014-08,14.3,Australian Capital Territory
2015-08,13.7,Australian Capital Territory
2016-08,14.3,Australian Capital Territory
2017-08,13.9,Australian Capital Territory
2018-08,13.9,Australian Capital Territory
2019-08,14.2,Australian Capital Territory
2020-08,12.8,Australian Capital Territory
2021-08,14.7,Australian Capital Territory
2022-08,14.1,Australian Capital Territory
2023-08,15.7,Australian Capital Territory
2010-09,16.3,Australian Capital Territory
2011-09,18.2,Australian Capital Territory
2012-09,18,Australian Capital Territory
2013-09,19.9,Australian Capital Territory
2014-09,17.9,Australian Capital Territory
2015-09,17.4,Australian Capital Territory
2016-09,15.8,Australian Capital Territory
2017-09,18.1,Australian Capital Territory
2018-09,18,Australian Capital Territory
2019-09,18.8,Australian Capital Territory
2020-09,17.6,Australian Capital Territory
2021-09,17.3,Australian Capital Territory
2022-09,16.2,Australian Capital Territory
2023-09,20.9,Australian Capital Territory
2010-10,19.6,Australian Capital Territory
2011-10,20.6,Australian Capital Territory
2012-10,20.8,Australian Capital Territory
2013-10,21.9,Australian Capital Territory
2014-10,22.5,Australian Capital Territory
2015-10,24.8,Australian Capital Territory
2016-10,18.5,Australian Capital Territory
2017-10,23.2,Australian Capital Territory
2018-10,22.8,Australian Capital Territory
2019-10,23.6,Australian Capital Territory
2020-10,20.3,Australian Capital Territory
2021-10,19.2,Australian Capital Territory
2022-10,18.3,Australian Capital Territory
2023-10,21.9,Australian Capital Territory
2010-11,22.5,Australian Capital Territory
2011-11,25.4,Australian Capital Territory
2012-11,25.4,Australian Capital Territory
2013-11,23.8,Australian Capital Territory
2014-11,27.9,Australian Capital Territory
2015-11,25.3,Australian Capital Territory
2016-11,24.8,Australian Capital Territory
2017-11,24.3,Australian Capital Territory
2018-11,24.5,Australian Capital Territory
2019-11,26.8,Australian Capital Territory
2020-11,25.1,Australian Capital Territory
2021-11,20.2,Australian Capital Territory
2022-11,20.7,Australian Capital Territory
2023-11,25.5,Australian Capital Territory
2010-12,25,Australian Capital Territory
2011-12,23.6,Australian Capital Territory
2012-12,27.7,Australian Capital Territory
2013-12,28.5,Australian Capital Territory
2014-12,27.7,Australian Capital Territory
2015-12,29.3,Australian Capital Territory
2016-12,28.7,Australian Capital Territory
2017-12,27.8,Australian Capital Territory
2018-12,29.3,Australian Capital Territory
2019-12,31.7,Australian Capital Territory
2020-12,25.4,Australian Capital Territory
2021-12,25.2,Australian Capital Territory
2022-12,23.9,Australian Capital Territory
2023-12,27.1,Australian Capital Territory
2010-01,24.4,New South Wales
2011-01,24.7,New South Wales
2012-01,23.9,New South Wales
2013-01,24.5,New South Wales
2014-01,24,New South Wales
2015-01,24.8,New South Wales
2016-01,24.8,New South Wales
2017-01,26.5,New South Wales
2018-01,24.5,New South Wales
2019-01,26,New South Wales
2020-01,25.3,New South Wales
2021-01,23.7,New South Wales
2022-01,24.6,New South Wales
2023-01,23.8,New South Wales
2010-02,25.1,New South Wales
2011-02,26.5,New South Wales
2012-02,23.4,New South Wales
2013-02,23.7,New South Wales
2014-02,23.4,New South Wales
2015-02,24.4,New South Wales
2016-02,25.2,New South Wales
2017-02,25.7,New South Wales
2018-02,24.5,New South Wales
2019-02,25,New South Wales
2020-02,24.8,New South Wales
2021-02,23.8,New South Wales
2022-02,25.1,New South Wales
2023-02,24.9,New South Wales
2010-03,23.8,New South Wales
