State,Date,Area
Western Australia,February,0.870593068
Western Australia,January,0.652944801
Western Australia,December,0.435296534
Western Australia,November,0.217648267
Victoria,February,6.734800654
Victoria,January,6.629741827
Victoria,December,6.339085665
Victoria,November,4.340580539
Tasmania,February,0.526308095
Tasmania,January,0.321632725
Tasmania,December,0.01900557
Tasmania,November,0.00000001
South Australia,February,0.28327954
South Australia,January,0.21486893
South Australia,December,0.069083155
South Australia,November,0.005079644
Queensland,February,1.445302247
Queensland,January,1.445302247
Queensland,December,0.696595215
Queensland,November,0.020812352
Northern Territory,February,5.045292631
Northern Territory,January,3.783969473
Northern Territory,December,2.522646315
Northern Territory,November,1.261323158
New South Wales,February,6.890095488
New South Wales,January,4.931143981
New South Wales,December,3.512165013
New South Wales,November,1.418978968
Australian Capital Territory,February,36.66836302
Australian Capital Territory,January,9.126378287
Australian Capital Territory,December,0.00000001
Australian Capital Territory,November,0.00000001
